49.068,6.636,92.79399999999998
53.311,14.154,182.471
48.646,9.065,320.298
50.737,9.679,108.33500000000001
47.944,9.13,113.362
51.192,8.404,47.206999999999994
50.69,9.436,236.981
48.728,11.547,271.048
47.427,10.275,253.523
52.894,12.139,45.656000000000006
47.811,6.615,168.189
49.562,11.054,330.221
49.357,13.681,142.623
53.778,8.936,284.842
53.616,7.206,34.55799999999999
53.987,6.761,175.416
54.897,13.992,188.883
48.4,13.015,15.990999999999985
51.212,8.389,8.738
47.601,14.742,282.356
